type,name,gu,lat,lng,address,tel,typedetail,indoor,businesshours,conditions,cate_mix,dong,Adress
카페,이어커피로스터스,마포구,37.54596561,126.9452365,서울특별시 마포구 백범로24길 9,02-706-9313,카페,실내,월(8/15)   광복절11:00 - 19:00      화   08:30 - 21:00   20:30 라스트오더      수   08:30 - 21:00   20:30 라스트오더      목   08:30 - 21:00   20:30 라스트오더      금   08:30 - 21:00   20:30 라스트오더      토   11:00 - 19:00   18:30 라스트오더      일   11:00 - 19:00   18:30 라스트오더,목줄,카페카페마포구실내목줄염리동염리동,염리동,대한민국 서울특별시 마포구 염리동 157-18
카페,코스모스상점,성동구,37.54157394,127.0534386,서울특별시 성동구 성수이로7길 27,02-498-7878,카페,"실내,실외",월   11:00 - 20:00   19:30 라스트오더      화   11:00 - 20:00   19:30 라스트오더      수   11:00 - 22:00   21:30 라스트오더      목   11:00 - 22:00   21:30 라스트오더      금   11:00 - 22:00   21:30 라스트오더      토   11:00 - 22:00   21:30 라스트오더      일   11:00 - 20:00   19:30 라스트오더,"목줄,안기",카페카페성동구실내 실외목줄 안기성수동2가성수동2가,성수동2가,대한민국 서울특별시 성동구 성수동2가 333-140
카페,옐로우 라인,마포구,37.55918241,126.9170647,서울특별시 마포구 월드컵북로 57,010-6837-2626,카페,실내, ,"목줄,안기",카페카페마포구실내목줄 안기성산1동성산1동,성산1동,대한민국 서울특별시 마포구 성산1동 631-6
카페,88커피,금천구,37.46173792,126.9001911,서울특별시 금천구 시흥대로88가길 17,010-3263-1492,카페,실내,월   08:00 - 20:00   19:30 라스트오더      화   08:00 - 20:00   19:30 라스트오더      수   정기휴무 (매주 수요일)      목   08:00 - 20:00   19:30 라스트오더      금   08:00 - 20:00   19:30 라스트오더      토   09:00 - 19:00   18:30 라스트오더      일   09:00 - 19:00   18:30 라스트오더      - 매주 수요일 휴무,"목줄,안기",카페카페금천구실내목줄 안기독산동독산동,독산동,대한민국 서울특별시 금천구 독산동 1064-25
카페,스톤앤워터,송파구,37.5131209,127.1198219,서울특별시 송파구 가락로 283,02-6013-9593,카페,실내,월   10:00 - 21:00   20:30 라스트오더      화   10:00 - 21:00   20:30 라스트오더      수   10:00 - 21:00   20:30 라스트오더      목   10:00 - 21:00   20:30 라스트오더      금   10:00 - 21:00   20:30 라스트오더      토   10:00 - 21:00   20:30 라스트오더      일   10:00 - 21:00   20:30 라스트오더,목줄,카페카페송파구실내목줄방이2동방이2동,방이2동,대한민국 서울특별시 송파구 방이2동 168-5
카페,유니버스 스튜디오,성동구,37.5375126,127.0536208,서울특별시 성동구 성덕정길 92,070-7563-2071,카페,실내,매일 11:00 - 22:00    21:30 라스트오더    정기휴무 (매주 화요일),"목줄,매너벨트",카페카페성동구실내목줄 매너벨트성수동2가성수동2가,성수동2가,대한민국 서울특별시 성동구 성수동2가 532-38
카페,Cafe4gil25,강남구,37.52143853,127.0207982,서울특별시 강남구 압구정로4길 25,070-8888-4025,브런치,"실내,실외",매일 10:00 - 22:00    21:00 라스트오더,"목줄,매너벨트",카페브런치강남구실내 실외목줄 매너벨트압구정로4길압구정로4길,압구정로4길,대한민국 서울특별시 강남구 압구정로4길 25
카페,사이이커피,광진구,37.54007821,127.0635726,서울특별시 광진구 동일로18길 11,010-7643-4220,카페,"실내,실외",11:30 - 21:00    20:30 라스트오더    매주 월요일 휴무,"목줄,매너벨트",카페카페광진구실내 실외목줄 매너벨트자양4동자양4동,자양4동,대한민국 서울특별시 광진구 자양4동 24-5
카페,타우너스 에스프레소 바,강남구,37.49846487,127.0398413,서울특별시 강남구 테헤란로28길 41,02-2135-1467,카페,"실외,테라스",평일 08:00 - 22:00    21:30 라스트오더    토요일 09:00 - 22:00    21:30 라스트오더    일요일 09:00 - 20:00    19:30 라스트오더,"목줄,매너벨트",카페카페강남구실외 테라스목줄 매너벨트역삼동역삼동,역삼동,대한민국 서울특별시 강남구 역삼동 725-57
카페,러프러프,성동구,37.54169627,127.0582472,서울특별시 성동구 연무장길 81,010-4796-8203,카페,실내,Mon-Fri 11:00 - 22:00    21:30 라스트오더    Sat-Sun 12:00 - 23:00    21:30 라스트오더    매달 2번째 월요일 정기 휴무(추후 변동 가능),"목줄,캐리어",카페카페성동구실내목줄 캐리어성수동2가성수동2가,성수동2가,대한민국 서울특별시 성동구 성수동2가 271-24
