type,name,gu,lat,lng,address,tel,typedetail,indoor,businesshours,conditions,cate_mix,Adress,dong
음식점,라코즈,송파구,37.51100901,127.1074913,서울특별시 송파구 백제고분로45길 40,02-423-7846,양식,실내,월   11:30 - 23:00   22:00 라스트오더      화   11:30 - 23:00   22:00 라스트오더      수   11:30 - 23:00   22:00 라스트오더      목   11:30 - 23:00   22:00 라스트오더      금   11:30 - 23:00   22:00 라스트오더      토   12:00 - 23:00   22:00 라스트오더      일   12:00 - 22:00   21:00 라스트오더,"목줄,캐리어,안기",음식점양식송파구실내목줄 캐리어 안기송파동송파동,대한민국 서울특별시 송파구 송파동 58-15,송파동
음식점,응온람,관악구,37.47374313,126.9814255,서울특별시 관악구 승방길 7,02-6952-9420,면요리,"실외,테라스",매일 10:00 - 22:00    15:00 - 16:00 브레이크타임    21:30 라스트오더,"목줄,캐리어",음식점면요리관악구실외 테라스목줄 캐리어남현동남현동,대한민국 서울특별시 관악구 남현동 602-254,남현동
음식점,부부부엌,양천구,37.54607895,126.8712512,서울특별시 양천구 목동중앙본로 117,010-4874-8715,양식,실내,월-토 16:00 - 새벽 01:00    일요일 12:00 - 새벽 00:00    15:00 - 17:00 브레이크타임    정기휴무 (매주 화요일)    재료 소진 시 조기 마감(전화문의요망),"목줄,매너벨트",음식점양식양천구실내목줄 매너벨트목동중앙본로목동중앙본로,대한민국 서울특별시 양천구 목동중앙본로 117-1,목동중앙본로
음식점,구찌짱,강북구,37.61301304,127.0310713,서울특별시 강북구 도봉로10가길 12,02-985-9797,일식,실내,매일 18:00 - 새벽 04:00,"목줄,매너벨트",음식점일식강북구실내목줄 매너벨트미아동미아동,대한민국 서울특별시 강북구 미아동 55-16,미아동
음식점,전환마을부엌 밥풀꽃,은평구,37.61069076,126.9160843,서울특별시 은평구 연서로15길 8,02-387-1129,한식,실내,매일 11:30 - 14:30    14:00 라스트오더,"목줄,매너벨트",음식점한식은평구실내목줄 매너벨트구산동구산동,대한민국 서울특별시 은평구 구산동 1-31,구산동
음식점,올더플레이트,마포구,37.5618346,126.9246157,서울특별시 마포구 동교로38길 5,02-333-0525,퓨전,실내,월~금 11:30 - 22:00    토~일 11:30 - 23:00    16:00 - 17:00 브레이크타임    22:00 라스트오더,캐리어,음식점퓨전마포구실내캐리어연남동연남동,대한민국 서울특별시 마포구 연남동 228-58,연남동
음식점,만포면옥본점,은평구,37.61414252,126.9174604,서울특별시 은평구 연서로 171,02-389-3917,면요리,실내,"매일 11:00 - 21:00 , 연중무휴","캐리어,안기",음식점면요리은평구실내캐리어 안기연서로연서로,대한민국 서울특별시 은평구 연서로 171,연서로
음식점,사랑봄,관악구,37.48137154,126.9276212,서울특별시 관악구 신원로3가길 6,010-2020-5882,양식,실내,평일 11:00 - 22:00 매주 화요일 휴무   주말 11:00 - 22:00 매주 화요일 휴무   공휴일 11:00 - 22:00 매주 화요일 휴무,없음,음식점양식관악구실내없음신원로3가길신원로3가길,대한민국 서울특별시 관악구 신원로3가길 6,신원로3가길
음식점,1번지남산돈가스커피,중구,37.55673103,126.9849145,서울특별시 중구 소파로 91,02-752-5838,양식,테라스, ,목줄,음식점양식중구테라스목줄명동명동,대한민국 서울특별시 중구 명동 8-59,명동
음식점,우리식당,중구,37.55966053,126.9770721,서울특별시 중구 남대문시장길 22-18,02-752-5153,한식,실내,매일 05:00 - 22:00 연중무휴,목줄,음식점한식중구실내목줄남창동남창동,대한민국 서울특별시 중구 남창동 34-135,남창동
음식점,유로포차,강남구,37.50727687,127.0238878,서울특별시 강남구 봉은사로1길 39,02-3444-7270,퓨전,실내,매일 15:00 - 22:00,"목줄,캐리어",음식점퓨전강남구실내목줄 캐리어봉은사로1길봉은사로1길,대한민국 서울특별시 강남구 봉은사로1길 39,봉은사로1길
음식점,미스터에이스,종로구,37.58005349,127.0135312,서울특별시 종로구 지봉로17길 36,070-8615-9558,한식,테라스, ,목줄,음식점한식종로구테라스목줄창신동창신동,대한민국 서울특별시 종로구 창신동 702,창신동
음식점,미술관,종로구,37.58427269,126.9972923,서울특별시 종로구 창경궁로29길 38,02-744-7855,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄명륜2가명륜2가,대한민국 서울특별시 종로구 명륜2가 140-1,명륜2가
음식점,스페이스플라토,종로구,37.5826931,127.0006487,서울특별시 종로구 대명1길 20,02-765-1571,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄명륜4가명륜4가,대한민국 서울특별시 종로구 명륜4가 대명1길 20,명륜4가
음식점,샐러드로우&트라타 익선점,종로구,37.57427079,126.9908703,서울특별시 종로구 돈화문로 65,070-7543-8125,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄종로1.2.3.4가동종로1.2.3.4가동,대한민국 서울특별시 종로구 종로1.2.3.4가동 172-2,종로1.2.3.4가동
음식점,더피자필,종로구,37.56899643,126.9845378,서울특별시 종로구 종로10길 21,02-795-3283,피자,실내,월   11:00 - 22:00   14:00 - 17:00 브레이크타임      화   11:00 - 22:00   14:00 - 17:00 브레이크타임      수   11:00 - 22:00   14:00 - 17:00 브레이크타임      목   11:00 - 22:00   14:00 - 17:00 브레이크타임      금   11:00 - 22:00   14:00 - 17:00 브레이크타임      토   12:00 - 22:00   14:00 - 17:00 브레이크타임      일   정기휴무 (매주 일요일),"목줄,매너벨트",음식점피자종로구실내목줄 매너벨트종로10길종로10길,대한민국 서울특별시 종로구 종로10길 21,종로10길
음식점,쏘핫마라탕&마라샹궈 1호점,종로구,37.56908226,126.9849433,서울특별시 종로구 삼일대로17길 47-1,010-2367-9933,중식,실내, ,목줄,음식점중식종로구실내목줄종로1.2.3.4가동종로1.2.3.4가동,대한민국 서울특별시 종로구 종로1.2.3.4가동 174-2,종로1.2.3.4가동
음식점,인사동 6842 고기밥상,종로구,37.57369038,126.9862747,서울특별시 종로구 인사동길 30-14,02-730-1272,한식,실내, ,목줄,음식점한식종로구실내목줄종로1.2.3.4가동종로1.2.3.4가동,대한민국 서울특별시 종로구 종로1.2.3.4가동 2-3,종로1.2.3.4가동
음식점,mishmash,종로구,37.57965814,126.989144,서울특별시 종로구 창덕궁길 47,02-6465-2211,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄창덕궁길창덕궁길,대한민국 서울특별시 종로구 창덕궁길 49,창덕궁길
음식점,홍대노가리포차 홍노포,마포구,37.55569738,126.9254728,서울특별시 마포구 어울마당로 136-18,010-2274-0481,퓨전,"실내,실외",월수목금17:00-22:00 / 토일빨간날 15:00-22:00 (휴무: 화요일),매너벨트,음식점퓨전마포구실내 실외매너벨트어울마당로어울마당로,대한민국 서울특별시 마포구 어울마당로 136-18,어울마당로
음식점,정사장,종로구,37.57886469,126.9854325,서울특별시 종로구 북촌로 24,010-7488-7419,퓨전,실내, ,목줄,음식점퓨전종로구실내목줄재동재동,대한민국 서울특별시 종로구 재동 47,재동
음식점,파란대문,종로구,37.59478304,126.9638946,서울특별시 종로구 창의문로 168,02-395-3858,양식,실내, ,목줄,음식점양식종로구실내목줄부암동부암동,대한민국 서울특별시 종로구 부암동 219-2,부암동
음식점,베테카텐,종로구,37.58374641,126.9813063,서울특별시 종로구 삼청로7길 7,02-723-1477,양식,실내, ,목줄,음식점양식종로구실내목줄삼청동삼청동,대한민국 서울특별시 종로구 삼청동 147-9,삼청동
음식점,원테이블(WONTABLE),종로구,37.59967165,126.9594971,서울특별시 종로구 자하문로 304,02-379-3009,양식,실내, ,"목줄,매너벨트",음식점양식종로구실내목줄 매너벨트자하문로자하문로,대한민국 서울특별시 종로구 자하문로 304,자하문로
음식점,미트볼라운지 삼청점,종로구,37.58334165,126.9816797,서울특별시 종로구 삼청로 89,02-722-7702,양식,테라스, ,목줄,음식점양식종로구테라스목줄삼청로삼청로,대한민국 서울특별시 종로구 삼청로 89-1,삼청로
음식점,본죽&비빔밥 cafe 충정로 브라운스톤점,중구,37.56081879,126.9682259,서울특별시 중구 청파로 464,02-364-6282,한식,테라스, ,목줄,음식점한식중구테라스목줄중림동중림동,대한민국 서울특별시 중구 중림동 355,중림동
음식점,비스트로 한강쌀롱,중구,37.55589132,126.9678621,서울특별시 중구 만리재로 207-11,070-4189-1698,양식,테라스, ,목줄,음식점양식중구테라스목줄만리재로만리재로,대한민국 서울특별시 중구 만리재로 207-11,만리재로
음식점,히피히피,중구,37.57008922,127.0193271,서울특별시 중구 마장로9길 35-1,010-3461-5759,퓨전,실내, ,목줄,음식점퓨전중구실내목줄황학동황학동,대한민국 서울특별시 중구 황학동 162-6,황학동
음식점,다이어트레시피,중구,37.56522159,127.0203931,서울특별시 중구 다산로44길 61,070-7543-7296,퓨전,실내, ,목줄,음식점퓨전중구실내목줄신당동신당동,대한민국 서울특별시 중구 신당동 140-31,신당동
