type,name,gu,dong,lat,lng,address
지역근린공원,구들공원,광진구,구의동,37.54824437,127.092218,서울특별시 광진구 구의동 자양로42길
지역근린공원,신월어린이공원,양천구,신월동,37.52700128,126.8381227,서울특별시 양천구 신월동 
지역근린공원,까치공원,강남구,도곡동,37.48318097,127.0452004,서울특별시 강남구 도곡동 논현로26길
지역근린공원,단군공원,금천구,시흥동,37.45569383,126.9086823,서울특별시 금천구 시흥동 
지역근린공원,소파공원,중랑구,면목동,37.58934218,127.0957625,서울특별시 중랑구 면목동 겸재로64길
지역근린공원,정동공원,중구,정동,37.56760361,126.9716197,서울특별시 중구 정동 정동길
지역근린공원,소망어린이공원,노원구,상계동,37.65370647,127.0648493,서울특별시 노원구 상계동 
지역근린공원,배드민턴공원,동작구,신대방동,37.49095892,126.9135449,서울특별시 동작구 신대방동 여의대방로20길
지역근린공원,아랫말어린이공원,송파구,오금동,37.50472359,127.1374331,서울특별시 송파구 오금동 
지역근린공원,안양천체육공원,영등포구,문래동5가,37.51943029,126.8791293,서울특별시 영등포구 문래동5가 영등포로2길
지역근린공원,코스모스공원,노원구,상계동,37.66770818,127.0832976,서울특별시 노원구 상계동 
지역근린공원,근린공원,영등포구,영등포동,37.5101833,126.9038977,서울특별시 영등포구 영등포동 
지역근린공원,응암공원,은평구,응암동,37.60164112,126.9235873,서울특별시 은평구 응암동 은평로11길
지역근린공원,버드나무어린이공원,강북구,번동,37.63392178,127.0342854,서울특별시 강북구 번동 한천로115길
지역근린공원,싸리고개공원,강남구,도곡동,37.48948118,127.0354843,서울특별시 강남구 도곡동 
지역근린공원,햇님공원,광진구,화양동,37.54270574,127.0668824,서울특별시 광진구 화양동 아차산로25길
지역근린공원,갈곡리공원,은평구,갈현동,37.62386433,126.9164737,서울특별시 은평구 갈현동 갈현로41길
지역근린공원,등나무근린공원,노원구,중계동,37.64010563,127.0670987,서울특별시 노원구 중계동 동일로
지역근린공원,등촌공원,강서구,등촌동,37.56368174,126.8413919,서울특별시 강서구 등촌동 강서로62길
지역근린공원,일원에코파크,강남구,일원동,37.4952036,127.0883103,서울특별시 강남구 일원동 
지역근린공원,안골공원,중랑구,신내동,37.60451337,127.0979011,서울특별시 중랑구 신내동 
지역근린공원,쌈지공원,금천구,독산동,37.47088024,126.9039161,서울특별시 금천구 독산동 
지역근린공원,훈련원공원,중구,을지로5가,37.56742778,127.0037797,서울특별시 중구 을지로5가 을지로
지역근린공원,근린공원,강남구,삼성동,37.51629854,127.0447565,서울특별시 강남구 삼성동 
지역근린공원,백합공원,강서구,염창동,37.55114616,126.8694477,서울특별시 강서구 염창동 
지역근린공원,방배공원,서초구,방배동,37.48267043,126.9998756,서울특별시 서초구 방배동 효령로
지역근린공원,하명달어린이공원,서초구,서초동,37.48583461,127.0054319,서울특별시 서초구 서초동 
지역근린공원,새소리어린이공원,성북구,돈암동,37.60084451,127.0253164,서울특별시 성북구 돈암동 
지역근린공원,하늘공원,구로구,가리봉동,37.4868375,126.8808507,서울특별시 구로구 가리봉동 벚꽃로
지역근린공원,경기대학교서울캠퍼스하늘공원,서대문구,충정로2가,37.56531451,126.9618146,서울특별시 서대문구 충정로2가 경기대로9길
지역근린공원,원지어린이공원,영등포구,대림동,37.49761758,126.8996539,서울특별시 영등포구 대림동 도림로47길
지역근린공원,상도근린공원,관악구,봉천동,37.49187922,126.941428,서울특별시 관악구 봉천동 국회단지길
지역근린공원,일자산공원,강동구,둔촌동,37.5330197,127.1513563,서울특별시 강동구 둔촌동 동남로
지역근린공원,근린공원,양천구,목동,37.53701841,126.8683735,서울특별시 양천구 목동 목동중앙남로4길
지역근린공원,가락근린공원,송파구,가락동,37.4982807,127.1243198,서울특별시 송파구 가락동 양재대로64길
지역근린공원,산기슭공원,금천구,시흥동,37.46327939,126.9074369,서울특별시 금천구 시흥동 독산로54길
지역근린공원,미아2동민공원,강북구,미아동,37.6251006,127.0107961,서울특별시 강북구 미아동 인수봉로17길
지역근린공원,간데메공원,동대문구,답십리동,37.57337816,127.0487344,서울특별시 동대문구 답십리동 서울시립대로2길
지역근린공원,중앙어린이공원,영등포구,영등포동6가,37.52127456,126.9037454,서울특별시 영등포구 영등포동6가 영등포로35길
지역근린공원,장미공원,광진구,구의동,37.53642642,127.090154,서울특별시 광진구 구의동 구의강변로3길
지역근린공원,큰별공원,강서구,화곡동,37.54449931,126.848974,서울특별시 강서구 화곡동 
지역근린공원,학다리공원,관악구,봉천동,37.4887861,126.9375661,서울특별시 관악구 봉천동 
지역근린공원,유수지체육공원,마포구,망원동,37.55780449,126.8971446,서울특별시 마포구 망원동 월드컵로25길
지역근린공원,노해근린공원,노원구,중계동,37.64908677,127.0710043,서울특별시 노원구 중계동 노원로22길
대형시민/도심공원,남산공원,중구,예장동,37.55111619,126.9910802,서울특별시 중구 예장동 남산공원길
대형시민/도심공원,종묘광장공원,종로구,훈정동,37.57143899,126.9949029,서울특별시 종로구 훈정동 종로
지역근린공원,방이다리공원2,서초구,양재동,37.47833452,127.0355586,서울특별시 서초구 양재동 
지역근린공원,안산도시자연공원,서대문구,연희동,37.57370191,126.9301291,서울특별시 서대문구 연희동 
지역근린공원,경의선공원,마포구,대흥동,37.54747038,126.9402812,서울특별시 마포구 대흥동 
지역근린공원,발산공원,강서구,내발산동,37.55454106,126.8258394,서울특별시 강서구 내발산동 마곡중앙로
지역근린공원,서린공원,종로구,서린동,37.56994946,126.9807825,서울특별시 종로구 서린동 종로
지역근린공원,혜림공원,강동구,천호동,37.54460152,127.1399199,서울특별시 강동구 천호동 천중로39길
지역근린공원,난우공원,관악구,신림동,37.4803999,126.9139642,서울특별시 관악구 신림동 난곡로61길
지역근린공원,창천어린이공원,서대문구,창천동,37.55675119,126.9355284,서울특별시 서대문구 창천동 연세로5나길
지역근린공원,목련공원,송파구,오금동,37.49898426,127.1392297,서울특별시 송파구 오금동 동남로24길
지역근린공원,동자체육공원,강동구,고덕동,37.55981942,127.1523955,서울특별시 강동구 고덕동 
지역근린공원,마로니에공원,종로구,동숭동,37.58053129,127.0028148,서울특별시 종로구 동숭동 대학로
지역근린공원,온수근린공원,노원구,상계동,37.66066266,127.0637871,서울특별시 노원구 상계동 노원로34길
