p_name,p_type,menu,,openhours,entryoption,tel_no,guname,address,road_address,lat,long,cate_mix
라코즈,음식점,양식,실내,월   11:30 - 23:00   22:00 라스트오더      화   11:30 - 23:00   22:00 라스트오더      수   11:30 - 23:00   22:00 라스트오더      목   11:30 - 23:00   22:00 라스트오더      금   11:30 - 23:00   22:00 라스트오더      토   12:00 - 23:00   22:00 라스트오더      일   12:00 - 22:00   21:00 라스트오더,"목줄,캐리어,안기",02-423-7846,송파구,"서울특별시 송파구 백제고분로45길 40 a동 2층 201호, 도요스6가 바로 왼쪽에 올라오는 계단 있습니다^^",서울특별시 송파구 백제고분로45길 40,37.5110090071118,127.10749128008,"음식점양식송파구실내목줄,캐리어,안기"
응온람,음식점,면요리,"실외,테라스",매일 10:00 - 22:00    15:00 - 16:00 브레이크타임    21:30 라스트오더,"목줄,캐리어",02-6952-9420,관악구,서울특별시 관악구 승방길 7,서울특별시 관악구 승방길 7,37.4737431316872,126.981425538037,"음식점면요리관악구실외,테라스목줄,캐리어"
부부부엌,음식점,양식,실내,월-토 16:00 - 새벽 01:00    일요일 12:00 - 새벽 00:00    15:00 - 17:00 브레이크타임    정기휴무 (매주 화요일)    재료 소진 시 조기 마감(전화문의요망),"목줄,매너벨트",010-4874-8715,양천구,서울특별시 양천구 목동중앙본로 117 1층,서울특별시 양천구 목동중앙본로 117,37.5460789521861,126.871251230962,"음식점양식양천구실내목줄,매너벨트"
구찌짱,음식점,일식,실내,매일 18:00 - 새벽 04:00,"목줄,매너벨트",02-985-9797,강북구,서울특별시 강북구 도봉로10가길 12 지하1층,서울특별시 강북구 도봉로10가길 12,37.6130130379453,127.031071329746,"음식점일식강북구실내목줄,매너벨트"
전환마을부엌 밥풀꽃,음식점,한식,실내,매일 11:30 - 14:30    14:00 라스트오더,"목줄,매너벨트",02-387-1129,은평구,서울특별시 은평구 연서로15길 8,서울특별시 은평구 연서로15길 8,37.6106907623995,126.916084259002,"음식점한식은평구실내목줄,매너벨트"
올더플레이트,음식점,퓨전,실내,월~금 11:30 - 22:00    토~일 11:30 - 23:00    16:00 - 17:00 브레이크타임    22:00 라스트오더,캐리어,02-333-0525,마포구,서울특별시 마포구 동교로38길 5 2층,서울특별시 마포구 동교로38길 5,37.5618346036558,126.92461570026,음식점퓨전마포구실내캐리어
만포면옥본점,음식점,면요리,실내,"매일 11:00 - 21:00 , 연중무휴","캐리어,안기",02-389-3917,은평구,서울특별시 은평구 연서로 171 백년가게 만포면옥,서울특별시 은평구 연서로 171,37.6141425195587,126.917460367247,"음식점면요리은평구실내캐리어,안기"
사랑봄,음식점,양식,실내,평일 11:00 - 22:00 매주 화요일 휴무   주말 11:00 - 22:00 매주 화요일 휴무   공휴일 11:00 - 22:00 매주 화요일 휴무,없음,010-2020-5882,관악구,서울특별시 관악구 신원로3가길 6,서울특별시 관악구 신원로3가길 6,37.4813715431276,126.927621172856,음식점양식관악구실내없음
1번지남산돈가스커피,음식점,양식,테라스, ,목줄,02-752-5838,중구,서울특별시 중구 소파로 91,서울특별시 중구 소파로 91,37.556731032954,126.98491452474,음식점양식중구테라스목줄
우리식당,음식점,한식,실내,매일 05:00 - 22:00 연중무휴,목줄,02-752-5153,중구,서울특별시 중구 남대문시장길 22-18 우리식당,서울특별시 중구 남대문시장길 22-18,37.5596605342101,126.977072050215,음식점한식중구실내목줄
유로포차,음식점,퓨전,실내,매일 15:00 - 22:00,"목줄,캐리어",02-3444-7270,강남구,서울특별시 강남구 봉은사로1길 39,서울특별시 강남구 봉은사로1길 39,37.5072768673446,127.023887750906,"음식점퓨전강남구실내목줄,캐리어"
미스터에이스,음식점,한식,테라스, ,목줄,070-8615-9558,종로구,서울특별시 종로구 지봉로17길 36,서울특별시 종로구 지봉로17길 36,37.580053493927,127.013531156512,음식점한식종로구테라스목줄
미술관,음식점,퓨전,실내, ,목줄,02-744-7855,종로구,서울특별시 종로구 창경궁로29길 38,서울특별시 종로구 창경궁로29길 38,37.5842726902211,126.997292302646,음식점퓨전종로구실내목줄
스페이스플라토,음식점,퓨전,실내, ,목줄,02-765-1571,종로구,서울특별시 종로구 대명1길 20,서울특별시 종로구 대명1길 20,37.5826930979425,127.000648719603,음식점퓨전종로구실내목줄
샐러드로우&트라타 익선점,음식점,퓨전,실내, ,목줄,070-7543-8125,종로구,서울특별시 종로구 돈화문로 65,서울특별시 종로구 돈화문로 65,37.5742707942486,126.990870271708,음식점퓨전종로구실내목줄
더피자필,음식점,피자,실내,월   11:00 - 22:00   14:00 - 17:00 브레이크타임      화   11:00 - 22:00   14:00 - 17:00 브레이크타임      수   11:00 - 22:00   14:00 - 17:00 브레이크타임      목   11:00 - 22:00   14:00 - 17:00 브레이크타임      금   11:00 - 22:00   14:00 - 17:00 브레이크타임      토   12:00 - 22:00   14:00 - 17:00 브레이크타임      일   정기휴무 (매주 일요일),"목줄,매너벨트",02-795-3283,종로구,서울특별시 종로구 종로10길 21 1층 더피자필,서울특별시 종로구 종로10길 21,37.5689964298084,126.984537832508,"음식점피자종로구실내목줄,매너벨트"
쏘핫마라탕&마라샹궈 1호점,음식점,중식,실내, ,목줄,010-2367-9933,종로구,서울특별시 종로구 삼일대로17길 47-1 지하 1층,서울특별시 종로구 삼일대로17길 47-1,37.5690822569906,126.98494327562,음식점중식종로구실내목줄
인사동 6842 고기밥상,음식점,한식,실내, ,목줄,02-730-1272,종로구,서울특별시 종로구 인사동길 30-14,서울특별시 종로구 인사동길 30-14,37.5736903790428,126.986274723205,음식점한식종로구실내목줄
mishmash,음식점,퓨전,실내, ,목줄,02-6465-2211,종로구,서울특별시 종로구 창덕궁길 47,서울특별시 종로구 창덕궁길 47,37.5796581438292,126.989143953986,음식점퓨전종로구실내목줄
홍대노가리포차 홍노포,음식점,퓨전,"실내,실외",월수목금17:00-22:00 / 토일빨간날 15:00-22:00 (휴무: 화요일),매너벨트,010-2274-0481,마포구,서울특별시 마포구 어울마당로 136-18,서울특별시 마포구 어울마당로 136-18,37.5556973764683,126.925472836126,"음식점퓨전마포구실내,실외매너벨트"
정사장,음식점,퓨전,실내, ,목줄,010-7488-7419,종로구,서울특별시 종로구 북촌로 24 1층,서울특별시 종로구 북촌로 24,37.5788646892515,126.985432518919,음식점퓨전종로구실내목줄
파란대문,음식점,양식,실내, ,목줄,02-395-3858,종로구,서울특별시 종로구 창의문로 168,서울특별시 종로구 창의문로 168,37.5947830419925,126.963894556794,음식점양식종로구실내목줄
베테카텐,음식점,양식,실내, ,목줄,02-723-1477,종로구,서울특별시 종로구 삼청로7길 7,서울특별시 종로구 삼청로7길 7,37.5837464124825,126.981306309614,음식점양식종로구실내목줄
원테이블(WONTABLE),음식점,양식,실내, ,"목줄,매너벨트",02-379-3009,종로구,서울특별시 종로구 자하문로 304,서울특별시 종로구 자하문로 304,37.5996716545027,126.959497111808,"음식점양식종로구실내목줄,매너벨트"
미트볼라운지 삼청점,음식점,양식,테라스, ,목줄,02-722-7702,종로구,서울특별시 종로구 삼청로 89,서울특별시 종로구 삼청로 89,37.583341654716,126.981679682562,음식점양식종로구테라스목줄
본죽&비빔밥 cafe 충정로 브라운스톤점,음식점,한식,테라스, ,목줄,02-364-6282,중구,서울특별시 중구 청파로 464 대로변 1층 110호,서울특별시 중구 청파로 464,37.5608187887289,126.968225883547,음식점한식중구테라스목줄
비스트로 한강쌀롱,음식점,양식,테라스, ,목줄,070-4189-1698,중구,서울특별시 중구 만리재로 207-11,서울특별시 중구 만리재로 207-11,37.5558913169737,126.96786208421,음식점양식중구테라스목줄
히피히피,음식점,퓨전,실내, ,목줄,010-3461-5759,중구,서울특별시 중구 마장로9길 35-1 3층,서울특별시 중구 마장로9길 35-1,37.5700892183569,127.019327114445,음식점퓨전중구실내목줄
다이어트레시피,음식점,퓨전,실내, ,목줄,070-7543-7296,중구,서울특별시 중구 다산로44길 61 1층,서울특별시 중구 다산로44길 61,37.5652215896205,127.020393107804,음식점퓨전중구실내목줄
100코달리,음식점,퓨전,실내, ,목줄,010-2235-6774,중구,서울특별시 중구 다산로38길 11 1층,서울특별시 중구 다산로38길 11,37.563305249712,127.016417406503,음식점퓨전중구실내목줄
누룽지백숙,음식점,한식,실내, ,목줄,02-2232-4388,중구,서울특별시 중구 다산로 151 2층,서울특별시 중구 다산로 151,37.557258585385,127.011751979663,음식점한식중구실내목줄
크레이지 크레이지,음식점,퓨전,실내, ,목줄,02-2233-3440,중구,서울특별시 중구 다산로47길 11 4층,서울특별시 중구 다산로47길 11,37.566567993182,127.015330138534,음식점퓨전중구실내목줄
콘크리트포이트리,음식점,퓨전,실내, ,"목줄,입마개",010-4564-1722,중구,서울특별시 중구 창경궁로5길 18 4층,서울특별시 중구 창경궁로5길 18,37.5671864023794,126.996981079718,"음식점퓨전중구실내목줄,입마개"
드므,음식점,퓨전,실외, ,목줄,010-7931-2229,중구,서울특별시 중구 충무로5길 24 4층 옥탑,서울특별시 중구 충무로5길 24,37.5654747820376,126.991483468848,음식점퓨전중구실외목줄
플레김밥&카페,음식점,분식,실내, ,목줄,02-2266-9230,중구,서울특별시 중구 퇴계로 331,서울특별시 중구 퇴계로 331,37.5645250567384,127.008309177472,음식점분식중구실내목줄
사슴,음식점,퓨전,실내, ,목줄,02-2285-1571,중구,서울특별시 중구 장충단로7길 17 1층,서울특별시 중구 장충단로7길 17,37.5623976107458,127.005442559648,음식점퓨전중구실내목줄
싱싱오징어바다 충무로점,음식점,퓨전,테라스, ,목줄,02-2274-9283,중구,서울특별시 중구 서애로1길 11,서울특별시 중구 서애로1길 11,37.5613425706769,126.998598124335,음식점퓨전중구테라스목줄
을지로 차이,음식점,퓨전,실내, ,"목줄,입마개",070-4154-4374,중구,서울특별시 중구 을지로12길 28 제이매크로타워 203호,서울특별시 중구 을지로12길 28,37.5651799066544,126.990569735043,"음식점퓨전중구실내목줄,입마개"
프렌즈,음식점,퓨전,실내, ,목줄,02-730-6477,중구,서울특별시 중구 세종대로21길 55 3층,서울특별시 중구 세종대로21길 55,37.5690135525009,126.975946526657,음식점퓨전중구실내목줄
식당진,음식점,일식,실내, ,목줄,02-755-7558,중구,서울특별시 중구 퇴계로22길 5,서울특별시 중구 퇴계로22길 5,37.5606353373972,126.986515704364,음식점일식중구실내목줄
한상훈셰프,음식점,양식,실내, ,목줄,010-7274-9443,중구,서울특별시 중구 소공로 29,서울특별시 중구 소공로 29,37.5579597058669,126.982811219104,음식점양식중구실내목줄
다운타우너 안국,음식점,햄버거,실내, ,캐리어,070-8870-3696,종로구,서울특별시 종로구 북촌로 6-4 1층,서울특별시 종로구 북촌로 6-4,37.5774676298082,126.986372066894,음식점햄버거종로구실내캐리어
기러기둥지,음식점,퓨전,실내, ,목줄,02-3673-0070,종로구,서울특별시 종로구 돈화문로11길 28-4,서울특별시 종로구 돈화문로11길 28-4,37.5727948972767,126.990037189592,음식점퓨전종로구실내목줄
보울박스 한남본점,음식점,퓨전,실내, ,캐리어,02-749-2927,용산구,서울특별시 용산구 독서당로 67,서울특별시 용산구 독서당로 67,37.5338383170395,127.008147487881,음식점퓨전용산구실내캐리어
리틀넥 한남,음식점,양식,테라스, ,목줄,070-8869-9499,용산구,서울특별시 용산구 한남대로27길 66 1층,서울특별시 용산구 한남대로27길 66,37.539599647338,127.003000269542,음식점양식용산구테라스목줄
조개일번지,음식점,한식,실외, ,목줄,02-902-2545,도봉구,서울특별시 도봉구 도봉로106길 22 (쌍문역2번 출구에서456m),서울특별시 도봉구 도봉로106길 22,37.6444604697605,127.033580151894,음식점한식도봉구실외목줄
베트남돼지,음식점,퓨전,실내, ,목줄,02-749-9186,용산구,서울특별시 용산구 이태원로20길 21 1층,서울특별시 용산구 이태원로20길 21,37.5334152404016,126.992352297779,음식점퓨전용산구실내목줄
Billionbox,음식점,햄버거,실내, ,목줄,070-8154-1564,용산구,서울특별시 용산구 회나무로 24-1,서울특별시 용산구 회나무로 24-1,37.5392180010491,126.989450003548,음식점햄버거용산구실내목줄
여인숙,음식점,퓨전,실내, ,"목줄,매너벨트",010-4194-4588,용산구,서울특별시 용산구 녹사평대로42길 19,서울특별시 용산구 녹사평대로42길 19,37.5368852340828,126.987719435402,"음식점퓨전용산구실내목줄,매너벨트"
사실주의베이컨,음식점,퓨전,실외, ,목줄,02-797-1775,용산구,서울특별시 용산구 우사단로 31-1,서울특별시 용산구 우사단로 31-1,37.5330532867351,126.995415813282,음식점퓨전용산구실외목줄
코펜바인,음식점,퓨전,실내, ,목줄,02-792-8319,용산구,서울특별시 용산구 이촌로 300 첼리투스상가,서울특별시 용산구 이촌로 300,37.5178439903271,126.980323377172,음식점퓨전용산구실내목줄
